id,text,labels
1,"Large language models are a language model trained with self-supervised learning on a vast amount of text . LLMs consist of billions to trillions of parameters and operate as general-purpose sequence models, generating, summarizing, translating and reasoning over text . The ability to ""self-instruct"" makes LLMs able to ""bootstrap"" themselves toward a correct answer .","education_academic"
2,"The 2019 Champion of Champions took place from 4 to 10 November 2019 at the Ricoh Arena in Coventry, England . Ronnie O'Sullivan was the defending champion, having defeated Kyren Wilson in the final of the 2018 event . Neil Robertson defeated reigning world champion Judd Trump to win the championship . The tournament's total prize fund was £440,000, of which the winner received £150,000 .","news_media"
3,Palantir Technologies has soared 25-fold in the past three years . The company recently landed a deal worth up to $10 billion contract with the U.S. Army . The shares have surged more than 170% this year .,"news_media"
4,"Caterpillar has raised its targets for the 2024 to 2030 period for revenue, profit margin, and capital expenditures . The industrial giant is looking to raise the compound annual growth rate (CAGR) for its sales and revenues from 4% in 2024 to 5%-7% through 2030 . The company is also raising its adjusted operating profit margin target from 18% to 22% at $72 billion .","news_media"
5,"Cybersecurity consultants need to find the right location to set up shop in the U.S. Take into account your start-up capital, if you need to hire, and the nature of your business . Co-working spaces offer flexibility, but the set hours, lack of privacy and limited room to grow might not fit your plans .","education_academic"
6,"Shopbop is a popular shopping destination for Amazon.com . The site is based in Seattle, Washington, D.C. and Washington, DC .","ecommerce, corporate_company"
7,"The government is attempting to lay a foundation for dissenting political beliefs as grounds for terrorism . Ya’akub — non-white, non-Christian — have been made its primary examples .","government, news_media"
8,"Likely, these are people being lazy and leveraging Google Search to go to a site . Instead of entering ""youtube.com"" in the address bar and going directly to the site, they enter ""youtube"" in a search which initiates a search, and click the top search result .","news_media"
9,Coursera | Online Courses & Credentials From Top Educators . Join us for Free | CourserA . Join for Free .,"education_academic"
10,Codecrafters-io/build-your-own-x:    You can’t perform that action at this time .,"education_academic, documentation_reference"
11,"Today we're running a short fundraiser to support Wikipedia . If you've visited Wikipedia this year, we hope it's given you at least $2.75 a year of knowledge . You deserve an explanation .","education_academic"
12,"The New York Post is published on November 5, 2025 . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .","news_media"
13,Apple’s website is accessible by clicking here to search for the most recent version of this article . The page you’re looking for can’t be found.,"unknown"
15,Microsoft Power BI Desktop combines state-of-the-art interactive visualizations with industry-leading data query and modeling built-in . Create and publish your reports to Power BI .,"corporate_company"
16,"Due to the lapse in federal government funding, NASA is not updating this website . NASA will not update this website to reflect current federal funding levels .","government"
17,"Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online . In the first course, you will learn the fundamentals of machine learning and how to use these techniques to build real-world AI applications .","education_academic"
18,"To see all available qualifiers, see our documentation . We read every piece of feedback, and take your input very seriously . We take our feedback seriously .","education_academic"
19,"If you're behind a web filter, please make sure that the domains *.kastatic.org and *.kasandbox.org are unblocked . This means we're having trouble loading external resources on our website .","education_academic"
20,"Spotify Premium Student offer currently includes access to Hulu (With Ads) plan on us, subject to eligibility . Offer only available if you haven't tried Premium before .","ads_marketing"
21,"404 - Page Not Found: Please check the address and spelling . It is possible that the page you were looking for may have been moved, updated or deleted .","unknown"
22,"Python, JavaScript, NodeJS, ReactJS and ReactJS are now open . Java, Python, Java, Java and NodeJS are all included in the list . The list is now open to languages from Python to JavaScript .","education_academic, documentation_reference"
23,"Some parts of Airbnb website don’t work properly without JavaScript enabled . We’re sorry, some parts of the Airbnb website won't work properly if you use it .","corporate_company"
24,"Access Denied . You don't have permission to access ""http://www.tesla.com/models"" on this server . Use this information to help users with reading comprehension and vocabulary .","login_portal"
25,Nike.com is a part of our Nike World Series . We are committed to helping runners and women's sports teams in the U.S. We are happy to participate in the USA Marathon Marathon .,"corporate_company"
26,You'll find lots to explore on the home page . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .,"news_media"
28,This is the first time a woman has been in a relationship with the Duchess of Cambridge . She has been married for more than 20 years . She was in the first place in the country to be married in 2008 . She is a mother-of-two and mother-to-two .,"news_media"
29,The information on this website may not be up to date during the government shutdown . Only web sites supporting excepted functions will be updated during the shutdown .,"government"
30,We've detected unusual activity from your computer network . Please click the box below to let us know you're not a robot . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .,"news_media"
31,"Your opt-out will be specific to this property and device or browser . If you clear your tracking history, you’ll need to opt out again . Even if you opt out, you may continue to see advertising .","ads_marketing"
32,"The Netherlands has a reputation for its Dutch influence in the Middle East . It has also had a reputation in South Africa . Nederlands, France, Germany, Italy, France and Germany all have different nationalities .","news_media"
33,"Shunyuan Zhang is assistant professor at Harvard Business School . Zhang: ""Our research represents the first empirical attempt to characterize the relationships between charisma and facial features""","education_academic"
34,The Met's Open Access API is where creators and researchers can connect to the The Met collection . The Met provides unparalleled  resources for research and welcomes an international community of students and scholars .,"education_academic"
35,"John McCarthy coined the term ""artificial intelligence"" at the first-ever AI conference at Dartmouth College . Big data and cloud computing is underway, enabling organizations to manage ever-larger data estates to train AI models .","education_academic"
36,"Data analysis has replaced data acquisition as the bottleneck to evidence-based decision making . The abstractions that emerged in the last decade blend ideas from parallel databases, distributed systems and programming languages to create a new class of scalable data analytics platforms .","education_academic"
37,CS101 is a self-paced course that teaches the essential ideas of Computer Science for a zero-prior-experience audience . Participants play and experiment with short bits of computer code to bring to life to the power and limitations of computers . CS101 also provides a general background on computers today .,"education_academic"
38,The need for action on mental health is indisputable and urgent . Banning highly hazardous pesticides is a particularly inexpensive and cost–effective intervention for reducing suicide rates . School-based social and emotional learning programmes are especially effective across all income levels . Community-based mental health care is best achieved through community-based care .,"education_academic"
39,President Barack Obama has been in office since 2009 . This is the first time we've heard from the U.S. president since Obama took office in 2009 .,"news_media"
40,"The book chronicles his anointment as heir to the dictator, as well as the death of his younger brother . The book was published 11 years after Juan Carlos’ abdication .","news_media"
41,"The families of some deceased celebrities and public figures have criticized OpenAI for allowing depictions of vulgar, unflattering or incriminating behavior . The trends were predicted by Paris-based company  Heuritech .","news_media"
42,"It looks like you're trying to zoom in on this page . Use the most recent version of your browser, disable your browser's 'zoom text only' setting and use the default font size settings .","education_academic"
43,"Mozilla Firefox was created in 2004 by Mozilla as a faster, more private alternative to Internet Explorer . Today, we are still not-for-profit, still not owned by any billionaires and still working to make the internet better .","corporate_company"
44,"NIH Clinical Center (the research hospital of NIH) is open . For more details about its operating status, please visit cccc.gov.com .","government"
45,The link you followed may be broken or expired . Use the search box to find what you are looking for . Use a word or phrase that you think may be found on the page you're looking for. The file or page you requested could not be found.,"unknown"
46,Machine learning (P) is a field of study in artificial intelligence that can learn from data and generalise to unseen data . Advances in the field of deep learning have allowed ML to surpass many previous machine learning approaches in performance . Machine learning grew out of the quest for artificial intelligence (AI),"education_academic"
48,"Cookie Settings: When you visit our website, we store cookies on your browser to collect information . The information collected might relate to you, your preferences or your device . These cookies are essential to provide you with services available through the NPR Services .","unknown"
49,The world's most powerful and most powerful technology is now in the hands of the world's greatest . It is now the hands-of-the-great .,"news_media"
50,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery . Please submit your best shots to CNN iReport.com/Travel next Wednesday .,"news_media"
51,"Calcola la rata del  tuo mutuo, è veloce e su misura per te. Confrontiamo le offerte più adatte . Confrontamio le offertiamo  ad at least adatante .","unknown"
52,"El cuerpo divide in two porciones: esqueleto facial/viscerocráneo and  mandíbula . La parte inferior está constitida by un único hueso: the móvil . The conducto is recorrido by the nervio and vasos dentarios inferiores (se cruzan en ""x"" dentro del conducto)",
53,You can save your data for which the calculations will be made . Click on the name to make a calculation . Use the numbers to make the calculations .,
54,The File Transfer Protocol provides a framework to transfer information between two networked computers . FTP operates on two different Transmission Control Protocol ports: 20 and 21 . Port 21 is the Default Control Port for sending commands and files over the network . Port 20 should also be open on both sides of the communication channel .,
55,"There are lots of free music download sites and apps, which allows you to download your favorite songs or play online . In this article, I will put before you a list of Top 10 best mp3 downloader apps for Android .",
56,Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport . This store is currently unavailable . Visit CNN iReporters' weekly Newsiquiz to find out what stories you know about iReport stories .,
57,"Chief Architect is purpose‑built for residential home design with building tools that automatically generate roofs, foundations, framing, dimensions, dimensions and product schedules . Smart building technology makes the design process easy .",
58,Email marketing is only effective if customers actually open messages . Top-performing campaigns achieve open rates of above 40% with bounce rates under 2% . Apple’s Mail Privacy Protection has made open rates less reliable . Sunday evenings outperformed weekday mornings in most campaigns for me .,
59,Around 2025 . Use this article to help users navigate through the world's most complex web site . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport .,
60,"Napa Valley vineyards of unique Provenance – or origin – produce white, red, and Bordeaux-style red blends . We invite you to explore your sense of place with ProVENance Vineyards .",
61,"If you have a dream of writing, pursue it here . Share your knowledge to share with us . If you want to write, pursue your dream of doing so, write here .",
62,"Rama Duwaji, Zohran Mamdani’s wife, carves a path of her own . She is the wife of Zohra Mmamdani, who is married to the late Iranian president-turned-politician .",
63,"Via Arco della Pace, 5 Roma, is 5 Roma . The city is located in the heart of the city centre . It is located near the city center of Roma, which is located on the outskirts of Roma .",
64,This page provides an overview of databases that could be used to store and manipulate OSM data . It is intended as an overview for new developers who wish to write software to use the data . The most of the following methods of obtaining data return the data in the OSM XML-based format that can be used by other tools .,
65,"This site collects information through the use of cookies and other tracking tools . Cookies and these tools do not contain any information that personally identifies a user . This information would be used and shared for Analytics, Ad Serving, Interest Based Advertising .",
66,The BLS is committed to providing data promptly and according to established schedules . Automated retrieval programs can cause delays and interfere with other customers' timely access to information . Bot activity that doesn't conform to BLS usage policy is prohibited .,
67,"The widely accepted version of the SIMATIC S7/300/SIMATIC Card is called ""glyphagogic"" and ""guiparian"" It is the type of card used by Siemens AG and Siemens . It is a Siemens MultiMedia Card with a number of features .",
68,404 error is caused by clicking here . 404 Error: Page Not Found . 404 error: Page not found . Error: Pages are not available .,
69,"The model we are going to solve looks as follows in an undirected network . Points in a network are called nodes (S, A, B, C, D, E and T) Lines are called arcs (SA, SB, SC, AC, etc) The Net Flow (Flow Out - Flow In) of each node should be equal to Supply/Demand . For this problem, we need Excel to find out if an arc is on the shortest path or not .",
70,"The statistics dictionary will display a definition for a term, plus links to related web pages . To see a definition, select a term from the dropdown text box below . The standard error is a measure of the variability of a sample distribution .",
71,"NCBA Bank Kenya's total asset base was valued at about KSh487.8 billion (US$4.88 billion) In December 2018, NIC Bank Kenya announced that it would be merging with Commercial Bank of Africa Group creating Kenya's third-biggest bank by assets . NCBA Group Plc owns subsidiary companies in Kenya, Uganda, Tanzania, Rwanda and the Ivory Coast .",
72,"Abraham Lincoln's Gettysburg Address redefined the Civil War as a struggle not just for the Union, but also for the principle of human equality . Lincoln’s radical interpretation of the speech was radical at the time but is now taken for granted .",
73,"The Gateway often refers to a                 gate or  portal or The Gateway referior . The Gateway may also refer to: Arts and entertainment particularly the Gateway (New Brunswick, New Jersey) or The Gateway .",
75,Facebook is the only official Facebook page for Keyboard Cat! Keyboard Cat Halloween 25! The only official page is Keyboard Cat's Facebook page . Keyboard Cat will celebrate 25th birthday on October 25th .,
76,"In this post I'm gonna write about some basic functions of Excel i.e. left, right, mid, len & mid+len . Normally they look simple but can be of great use if you know how to combine them with other functions . In this tutorial I'm not gonna discuss about complex use of these functions .",
77,"The noun  RESOLUTION has 11 senses: Nouns denoting communicative processes and contents . The greater the resolution, the better the picture on a computer-generated display . ResOLUTION is a formal expression by a meeting; agreed to by a vote . It is a resolution passed by both houses of Congress which becomes legally binding .",
78,"All fixed and mobile speed camera updates for all maps, every day, for all GPS devices . Check out the maps for free on our website .",
79,"The Perfect Protein Pancake recipe is the long-awaited recipe for the perfect protein pancake . It tastes as good as a greasy-spoon pancake, but has staying power of brown rice protein . The vegan version is still in progress .",
80,"The house mouse may have been distributed from China, but it has now spread throughout the world by humans and lives as a human . Mice are agricultural pests in some areas, but they do consume and contaminate human food with their droppings .",
81,Use the weekly Newsquiz to test your knowledge of stories you saw on CNN iReport . Visit CNN.com/newsquiz for more information .,
82,"As crowds are expected at major events, do arrive early — around 60 to 90 minutes before event time . We recommend bringing a small collapsible umbrella or poncho due to rainy weather .",
83,"We take your privacy seriously . We use cookies to understand how you use our website and create more valuable experiences . These cookies may be used for different purposes, including personalized advertising, measuring site usage, and sharing with third party partners .",
84,"Uses the number of milliseconds since midnight Jan 1, 1970, and the time difference between UTC time and local time, in minutes . Uses the function that created the Date prototype .",
85,This paper presents the recent development in the Open Source Modelica project started at the Programming Environments Laboratory (PELAB) at Linköping University . The goal of this project is to develop a freely available Open Source implementation of a Modelica compiler .,
86,XID is 45 3446748 and XID 453443748 . Service 503 service Unavailable; Service 503 unresponsive; Service 502 unresponsive .,
87,"The primary topics in this part of the specialization are: shortest paths (Bellman-Ford, Floyd-Warshall, Johnson, Johnson) NP-completeness and what it means for the algorithm designer .",
88,"By joining our talent network and/or uploading your resume, you understand and acknowledge your personal information will be processed in accordance with the  NVIDIA Applicant Privacy Policy . Receiving a matched result does not guarantee advancement to the next stage of the recruitment process .",
89,"Java documentation has all the information you need to make your project a smashing success . Use the rich set of code samples, tutorials and developer guides to quickly develop your prototype and scale it up to a real world application .",
90,CNN iReporters share their top 10 stories of the day . CNN iReport is on the lookout for iReporter stories . Share your top 10 news stories with iReport . Share them with us on Facebook and Twitter .,
91,Rare geomagnetic storms have led to a strong aurora forecast for Thursday night . Northern Lights Forecast: 22 States Might View Aurora Borealis Tonight .,
